method,tick,sample_id,label,class_sample_index,same_mean,different_mean,same_minus_different
dynamic_trajectory,1,class091-coucal-sample02-src01583,91,2,0.0,0.0,0.0
dynamic_trajectory,1,class091-coucal-sample03-src01629,91,3,0.0,0.0,0.0
dynamic_trajectory,1,class091-coucal-sample04-src03448,91,4,0.0,0.0,0.0
dynamic_trajectory,1,class171-Italian_greyhound-sample00-src00001,171,0,0.0,0.0,0.0
dynamic_trajectory,1,class171-Italian_greyhound-sample01-src02164,171,1,0.0,0.0,0.0
dynamic_trajectory,1,class171-Italian_greyhound-sample02-src02599,171,2,0.0,0.0,0.0
dynamic_trajectory,1,class171-Italian_greyhound-sample03-src02775,171,3,0.0,0.0,0.0
dynamic_trajectory,1,class171-Italian_greyhound-sample04-src03793,171,4,0.0,0.0,0.0
dynamic_trajectory,1,class505-coffeepot-sample00-src00013,505,0,0.0,0.0,0.0
dynamic_trajectory,1,class505-coffeepot-sample01-src01487,505,1,0.0,0.0,0.0
dynamic_trajectory,1,class505-coffeepot-sample02-src02782,505,2,0.0,0.0,0.0
dynamic_trajectory,1,class505-coffeepot-sample03-src05563,505,3,0.0,0.0,0.0
dynamic_trajectory,1,class505-coffeepot-sample04-src05824,505,4,0.0,0.0,0.0
dynamic_trajectory,1,class817-sports_car-sample00-src00019,817,0,0.0,0.0,0.0
dynamic_trajectory,1,class817-sports_car-sample01-src00787,817,1,0.0,0.0,0.0
dynamic_trajectory,1,class817-sports_car-sample02-src02853,817,2,0.0,0.0,0.0
dynamic_trajectory,1,class817-sports_car-sample03-src04513,817,3,0.0,0.0,0.0
dynamic_trajectory,1,class817-sports_car-sample04-src04549,817,4,0.0,0.0,0.0
dynamic_trajectory,1,class980-volcano-sample00-src00002,980,0,0.0,0.0,0.0
dynamic_trajectory,1,class980-volcano-sample01-src00863,980,1,0.0,0.0,0.0
dynamic_trajectory,1,class980-volcano-sample02-src01265,980,2,0.0,0.0,0.0
dynamic_trajectory,1,class980-volcano-sample03-src01422,980,3,0.0,0.0,0.0
dynamic_trajectory,1,class980-volcano-sample04-src01813,980,4,0.0,0.0,0.0
community_nmi,5,class091-coucal-sample00-src00000,91,0,0.3606370240092498,0.2663983904888187,0.0942386335204311
community_nmi,5,class091-coucal-sample01-src00316,91,1,0.3031060041085929,0.23359110273059444,0.06951490137799846
community_nmi,5,class091-coucal-sample02-src01583,91,2,0.26225058944460833,0.15292431192585426,0.10932627751875407
community_nmi,5,class091-coucal-sample03-src01629,91,3,0.3649743727029712,0.25024518613401947,0.1147291865689517
community_nmi,5,class091-coucal-sample04-src03448,91,4,0.3845484456944025,0.29376194587136806,0.09078649982303444
community_nmi,5,class171-Italian_greyhound-sample00-src00001,171,0,0.36761991090495066,0.2383115962976666,0.12930831460728406
community_nmi,5,class171-Italian_greyhound-sample01-src02164,171,1,0.39790963841394245,0.26669148808434645,0.131218150329596
community_nmi,5,class171-Italian_greyhound-sample02-src02599,171,2,0.455018283005851,0.26433669916340585,0.19068158384244516
community_nmi,5,class171-Italian_greyhound-sample03-src02775,171,3,0.35851507084934453,0.22002789279095342,0.1384871780583911
community_nmi,5,class171-Italian_greyhound-sample04-src03793,171,4,0.3307730499975786,0.2556217678749437,0.07515128212263494
community_nmi,5,class505-coffeepot-sample00-src00013,505,0,0.3283710792695876,0.23721081788010556,0.09116026138948202
community_nmi,5,class505-coffeepot-sample01-src01487,505,1,0.3824380932915038,0.2958321438060198,0.086605949485484
community_nmi,5,class505-coffeepot-sample02-src02782,505,2,0.3991423593194135,0.31527076064668313,0.08387159867273036
community_nmi,5,class505-coffeepot-sample03-src05563,505,3,0.337997330875645,0.3066294379892912,0.031367892886353776
community_nmi,5,class505-coffeepot-sample04-src05824,505,4,0.3151389837103835,0.21633479691223037,0.09880418679815314
community_nmi,5,class817-sports_car-sample00-src00019,817,0,0.24545145492798626,0.2350410573003308,0.010410397627655443
community_nmi,5,class817-sports_car-sample01-src00787,817,1,0.3160487442665604,0.2949840156395031,0.021064728627057272
community_nmi,5,class817-sports_car-sample02-src02853,817,2,0.15524774051047868,0.10509930468721436,0.05014843582326432
community_nmi,5,class817-sports_car-sample03-src04513,817,3,0.3348137813334298,0.2878972275629731,0.046916553770456726
community_nmi,5,class817-sports_car-sample04-src04549,817,4,0.363006029047985,0.3066400205053562,0.0563660085426288
community_nmi,5,class980-volcano-sample00-src00002,980,0,0.39649775590219183,0.2853837353936256,0.11111402050856622
community_nmi,5,class980-volcano-sample01-src00863,980,1,0.3896495917361653,0.25120728824230454,0.13844230349386077
community_nmi,5,class980-volcano-sample02-src01265,980,2,0.3780404765630728,0.3023848513242327,0.07565562523884012
community_nmi,5,class980-volcano-sample03-src01422,980,3,0.44207449935750814,0.2910091494867292,0.15106534987077896
community_nmi,5,class980-volcano-sample04-src01813,980,4,0.4604975328023644,0.2583574137188945,0.2021401190834699
community_ari,5,class091-coucal-sample00-src00000,91,0,0.4023563507157578,0.3029375640335371,0.0994187866822207
community_ari,5,class091-coucal-sample01-src00316,91,1,0.3526887524349234,0.27731894367658494,0.07536980875833849
community_ari,5,class091-coucal-sample02-src01583,91,2,0.3049139572633952,0.17112966426585746,0.13378429299753775
community_ari,5,class091-coucal-sample03-src01629,91,3,0.43163014259600085,0.30175589086626264,0.1298742517297382
community_ari,5,class091-coucal-sample04-src03448,91,4,0.4280732189189652,0.32792501223821097,0.10014820668075425
community_ari,5,class171-Italian_greyhound-sample00-src00001,171,0,0.4095038725382477,0.26195785507926905,0.14754601745897866
community_ari,5,class171-Italian_greyhound-sample01-src02164,171,1,0.45712034457348194,0.3198828261650728,0.13723751840840914
community_ari,5,class171-Italian_greyhound-sample02-src02599,171,2,0.4938142441895355,0.2790818239721517,0.2147324202173838
community_ari,5,class171-Italian_greyhound-sample03-src02775,171,3,0.39898502076476444,0.25824915724468334,0.1407358635200811
community_ari,5,class171-Italian_greyhound-sample04-src03793,171,4,0.3730847319013572,0.29087122484892464,0.08221350705243258
community_ari,5,class505-coffeepot-sample00-src00013,505,0,0.34749519689297326,0.26298429173212823,0.08451090516084503
community_ari,5,class505-coffeepot-sample01-src01487,505,1,0.44649656111915303,0.35205355722752624,0.0944430038916268
community_ari,5,class505-coffeepot-sample02-src02782,505,2,0.4565482000319488,0.3666962433072339,0.08985195672471491
community_ari,5,class505-coffeepot-sample03-src05563,505,3,0.35233200155345745,0.31806559538831947,0.034266406165137986
community_ari,5,class505-coffeepot-sample04-src05824,505,4,0.36506047294025906,0.2466795538898195,0.11838091905043957
community_ari,5,class817-sports_car-sample00-src00019,817,0,0.28659701160381024,0.2795617676259613,0.007035243977848937
community_ari,5,class817-sports_car-sample01-src00787,817,1,0.3639338228900884,0.3335767053239949,0.030357117566093494
community_ari,5,class817-sports_car-sample02-src02853,817,2,0.10929726984022173,0.08989672622508123,0.0194005436151405
community_ari,5,class817-sports_car-sample03-src04513,817,3,0.34207960493465295,0.3184770417066408,0.02360256322801213
community_ari,5,class817-sports_car-sample04-src04549,817,4,0.4131008409898408,0.35239371711594913,0.060707123873891655
community_ari,5,class980-volcano-sample00-src00002,980,0,0.42222665425209305,0.3402786819500063,0.08194797230208672
community_ari,5,class980-volcano-sample01-src00863,980,1,0.40806811423318445,0.26149311321740015,0.1465750010157843
community_ari,5,class980-volcano-sample02-src01265,980,2,0.3983159135070831,0.355150538856466,0.043165374650617094
community_ari,5,class980-volcano-sample03-src01422,980,3,0.4513581488143633,0.313934955582742,0.13742319323162133
community_ari,5,class980-volcano-sample04-src01813,980,4,0.48316795610290286,0.28187867514998544,0.20128928095291743
delta_con,5,class091-coucal-sample00-src00000,91,0,0.07254658501730057,0.06584973475258564,0.006696850264714935
delta_con,5,class091-coucal-sample01-src00316,91,1,0.07099843163917337,0.06841664989714066,0.0025817817420327044
delta_con,5,class091-coucal-sample02-src01583,91,2,0.07298549926115913,0.0677640527347293,0.005221446526429835
delta_con,5,class091-coucal-sample03-src01629,91,3,0.07252998554252066,0.06534360271408378,0.00718638282843688
delta_con,5,class091-coucal-sample04-src03448,91,4,0.07084032910647767,0.06372318893282783,0.0071171401736498385
delta_con,5,class171-Italian_greyhound-sample00-src00001,171,0,0.06910286189340557,0.06812024244890727,0.0009826194444983033
delta_con,5,class171-Italian_greyhound-sample01-src02164,171,1,0.06762052810438346,0.06442915782011924,0.003191370284264222
delta_con,5,class171-Italian_greyhound-sample02-src02599,171,2,0.06840579896245959,0.0626678687263498,0.005737930236109787
delta_con,5,class171-Italian_greyhound-sample03-src02775,171,3,0.06658615925819497,0.06184229302351106,0.0047438662346839106
delta_con,5,class171-Italian_greyhound-sample04-src03793,171,4,0.06842382882029555,0.06595103762907076,0.002472791191224788
